State,District,Block,DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,DECCAN PLATU  HOT SEMI-ARID ECO-REGION,EASTERN COASTAL PLAIN  HOT SUBHUMID TO SEMI-ARID EGO-REGION,EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),WESTERN GHATS AND COASTAL PLAIN  HOT HUMID-PERHUMID ECO-REGION
KA,Vijayapura,Basavana Bagevadi,0.0,633.5595296446504,0.0,0.0,529.921392623495,0.0
KA,Vijayapura,Chadachan,0.0,737.7464726279941,0.0,0.0,0.0,0.0
KA,Vijayapura,Devara Hipparagi,0.0,793.4812693567056,0.0,0.0,0.0,0.0
KA,Vijayapura,Indi,0.0,1690.2368534777581,0.0,0.0,0.0,0.0
KA,Vijayapura,Kolhar,0.0,0.0,0.0,0.0,469.975079790594,0.0
KA,Vijayapura,Muddebihal,0.0,531.0835466006782,0.0,0.0,479.39697678976535,0.0
KA,Vijayapura,Nidagundi,0.0,0.0,0.0,0.0,392.7525360368985,0.0
KA,Vijayapura,Sindgi,0.0,1595.6785614437792,0.0,0.0,0.0,0.0
KA,Vijayapura,Talikoti,0.0,810.4154665308432,0.0,0.0,0.0,0.0
KA,Vijayapura,Tikota,0.0,83.32306198336822,0.0,0.0,855.5308618810425,0.0
KA,Vijayapura,Vijayapura,0.0,755.3742928748961,0.0,0.0,271.7397483109636,0.0
KA,Yadgir,Gurumitkal,2.51334755209158,761.7721811166829,0.0,0.0,0.0,0.0
KA,Yadgir,Hunasagi,0.0,938.1418394168073,0.0,0.0,0.0,0.0
KA,Yadgir,Shahpur,0.0,1112.3255828967892,0.0,0.0,0.0,0.0
KA,Yadgir,Shorapur,0.0,1070.554607608749,0.0,0.0,0.0,0.0
KA,Yadgir,Wadagera,0.19867504106876355,774.5494982304463,0.0,0.0,0.0,0.0
