State,District,Block,zone_count,zone_label,display_color
KA,Gadag,Gadag,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Gadag,Gajendragad,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
KA,Gadag,Laxmeshwar,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Gadag,Mundargi,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Gadag,Nargund,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Gadag,Ron,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Gadag,Shirhatti,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Hassan,Alur,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Western Ghats & Coastal Plain (Humid–Perhumid)",#888888
KA,Hassan,Arkalgud,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Western Ghats & Coastal Plain (Humid–Perhumid)",#888888
KA,Hassan,Arsikere,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Hassan,Belur,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Western Ghats & Coastal Plain (Humid–Perhumid)",#888888
KA,Hassan,Channarayapatna,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Hassan,Hassan,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Hassan,Hole Narsipur,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Hassan,Sakleshpur,1,Western Ghats & Coastal Plain (Humid–Perhumid),#5e4fa2
KA,Haveri,Byadgi,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Haveri,Hangal,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Haveri,Haveri,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Haveri,Hirekerur,2,"Shared: Deccan Plateau (Semi-Arid) + Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#888888
KA,Haveri,Ranibennur,2,"Shared: Deccan Plateau (Semi-Arid) + Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#888888
KA,Haveri,Rattihalli,2,"Shared: Deccan Plateau (Semi-Arid) + Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#888888
KA,Haveri,Savanur,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Haveri,Shiggaon,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Kalaburagi,Afzalpur,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Kalaburagi,Aland,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Kalaburagi,Chincholi,2,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Deccan Plateau (Semi-Arid),#888888
KA,Kalaburagi,Chittapur,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Kalaburagi,Jevargi,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Kalaburagi,Kalaburagi,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Kalaburagi,Kalagi,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Kalaburagi,Kamalapur,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Kalaburagi,Sedam,2,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Deccan Plateau (Semi-Arid),#888888
KA,Kalaburagi,Shahabad,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Kalaburagi,Yadrami,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Kodagu,Madikeri,1,Western Ghats & Coastal Plain (Humid–Perhumid),#5e4fa2
KA,Kodagu,Somvarpet,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Western Ghats & Coastal Plain (Humid–Perhumid)",#888888
KA,Kodagu,Virajpet,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Western Ghats & Coastal Plain (Humid–Perhumid)",#888888
KA,Kolar,Bangarapet,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Kolar,Kolar,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Kolar,Kolar Gold Field,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Kolar,Malur,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Kolar,Mulbagal,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Kolar,Srinivaspur,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Koppal,Gangawati,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
